Callicebus cupreus	1117.02
Callicebus discolor	NA
Callicebus donacophilus	897.67
Callicebus dubius	992.4
Callicebus hoffmannsi	1067.61
Callicebus lucifer	NA
Callicebus lugens	NA
Callicebus medemi	NA
Callicebus melanochir	NA
Callicebus modestus	992.4
Ateles belzebuth	6692.42
Ateles chamek	7053.92
Ateles fusciceps	9067.94
Ateles geoffroyi	7582.4
Ateles hybridus	NA
Ateles marginatus	6229.28
Ateles paniscus	8697.25
Callicebus moloch	958.13
Callicebus nigrifrons	NA
Callicebus oenanthe	992.4
Callicebus olallae	992.4
Callicebus ornatus	NA
Callicebus pallescens	NA
Callicebus personatus	1390.8
Callicebus purinus	NA
Callicebus regulus	NA
Callicebus stephennashi	NA
Callicebus torquatus	1209.57
Callimico goeldii	558
Callithrix acariensis	NA
Callithrix argentata	382.92
Callithrix aurita	386.2
Callithrix chrysoleuca	NA
Callithrix emiliae	309.58
Callithrix flaviceps	372.97
Callithrix geoffroyi	342
Callithrix humeralifera	374.99
Callithrix humilis	NA
Callithrix intermedia	NA
Callithrix jacchus	290.21
Callithrix kuhlii	374.99
Callithrix leucippe	NA
Callithrix manicorensis	NA
Callithrix marcai	NA
Callithrix mauesi	443.79
Callithrix melanura	NA
Callithrix nigriceps	401.12
Callithrix penicillata	339.98
Callithrix pygmaea	123.94
Callithrix saterei	NA
Avahi laniger	1092.28
Avahi occidentalis	828.98
Avahi unicolor	NA
Cercocebus agilis	7105.62
Cercocebus atys	6941.24
Cercocebus chrysogaster	NA
Cercocebus galeritus	7077.66
Cercocebus sanjei	NA
Cercocebus torquatus	7293.07
Cercopithecus albogularis	NA
Cercopithecus ascanius	3540.24
Cercopithecus campbelli	3627.73
Cercopithecus cephus	3444.88
Cercopithecus denti	NA
Cercopithecus diana	4358.91
Cercopithecus doggetti	NA
Cercopithecus dryas	2784.06
Cercopithecus erythrogaster	3444.88
Cercopithecus erythrotis	3254.98
Cercopithecus hamlyni	NA
Cercopithecus kandti	NA
Cercopithecus lhoesti	5307.47
Cercopithecus lowei	NA
Cercopithecus mitis	5041.29
Cercopithecus mona	3980.17
Cercopithecus neglectus	5324.52
Cercopithecus nictitans	5256.91
Cercopithecus petaurista	3233.67
Cercopithecus pogonias	3578.27
Cercopithecus preussi	5132.57
Cercopithecus roloway	NA
Cercopithecus sclateri	3067.29
Cercopithecus solatus	5256.91
Cercopithecus wolfi	3255.18
Erythrocebus patas	7966.3
Brachyteles arachnoides	10537.31
Brachyteles hypoxanthus	NA
Lagothrix cana	NA
Lagothrix lagotricha	6263.69
Lagothrix lugens	NA
Lagothrix poeppigii	NA
Eulemur albifrons	NA
Eulemur albocollaris	2397.37
Eulemur cinereiceps	NA
Eulemur collaris	NA
Eulemur coronatus	1699.85
Eulemur fulvus	2376.99
Eulemur macaco	2470.43
Eulemur mongoz	1771.13
Eulemur rubriventer	2015.4
Eulemur rufus	2394.62
Eulemur sanfordi	2394.03
Galago thomasi	117.35
Galago zanzibaricus	147.35
Bunopithecus hoolock	6699
Chiropotes albinasus	2793.21
Chiropotes chiropotes	NA
Chiropotes israelita	NA
Chiropotes satanas	2967.27
Chiropotes utahickae	NA
Chlorocebus aethiops	3695.99
Chlorocebus cynosuros	NA
Chlorocebus djamdjamensis	NA
Chlorocebus pygerythrus	NA
Chlorocebus sabaeus	NA
Chlorocebus tantalus	NA
Cacajao calvus	3421.04
Cacajao melanocephalus	3121.58
Callicebus baptista	NA
Callicebus barbarabrownae	NA
Callicebus bernhardi	NA
Callicebus brunneus	850.84
Callicebus caligatus	992.4
Callicebus cinerascens	992.4
Callicebus coimbrai	NA
Cebus albifrons	2509.68
Cebus apella	2758.38
Cebus capucinus	3005.99
Cebus kaapori	3000
Cebus libidinosus	NA
Cebus nigritus	NA
Cebus olivaceus	2787.64
Cebus xanthosternos	NA
Cheirogaleus adipicaudatus	NA
Cheirogaleus crossleyi	NA
Cheirogaleus major	446.02
Cheirogaleus medius	196.76
Cheirogaleus minusculus	NA
Cheirogaleus ravus	NA
Cheirogaleus sibreei	NA
Colobus angolensis	8990.31
Colobus guereza	9925.88
Colobus polykomos	8797.29
Colobus satanas	9055.32
Colobus vellerosus	7700.18
Euoticus elegantulus	295.48
Euoticus pallidus	277.37
Daubentonia madagascariensis	2731.37
Hapalemur alaotrensis	1616.83
Hapalemur aureus	1562.41
Hapalemur griseus	916
Hapalemur occidentalis	NA
Galago alleni	266.03
Galago cameronensis	NA
Galago demidoff	66.04
Galago gabonensis	NA
Galago gallarum	250
Galago granti	NA
Galago matschiei	211.61
Galago moholi	191.96
Galago nyasae	NA
Galago orinus	NA
Galago rondoensis	NA
Galago senegalensis	215.2
Gorilla beringei	149325.19
Gorilla gorilla	112588.99
Homo sapiens	58540.63
Hylobates agilis	5829.08
Hylobates albibarbis	NA
Hylobates klossii	5822.29
Hylobates lar	5578.61
Hylobates moloch	5860.81
Hylobates muelleri	5909.81
Hylobates pileatus	5542.37
Indri indri	8565.48
Miopithecus talapoin	1248.86
Mirza coquereli	326.5
Lemur catta	2626.48
Leontopithecus caissara	604.01
Leontopithecus chrysomelas	572.8
Leontopithecus chrysopygus	656.12
Leontopithecus rosalia	592.52
Lepilemur ankaranensis	NA
Lepilemur dorsalis	503.85
Lepilemur edwardsi	821.58
Lepilemur leucopus	599.99
Lepilemur microdon	952.33
Lepilemur mustelinus	669.03
Lepilemur ruficaudatus	763.36
Lepilemur septentrionalis	755.77
Lophocebus albigena	7418.71
Lophocebus aterrimus	6510.37
Lophocebus opdenboschi	NA
Loris lydekkerianus	254.06
Loris tardigradus	249.22
Macaca arctoides	9358.04
Macaca assamensis	8546.89
Macaca cyclopis	5748.94
Macaca fascicularis	4569.32
Macaca fuscata	10114.76
Macaca hecki	NA
Macaca leonina	NA
Macaca maura	7290.3
Macaca mulatta	6455.19
Macaca nemestrina	7820.78
Macaca nigra	7359.39
Macaca nigrescens	NA
Macaca ochreata	2745.5
Macaca pagensis	4534.66
Macaca radiata	4999.99
Macaca siberu	NA
Macaca silenus	5995.25
Macaca sinica	4655.99
Macaca sylvanus	11471.53
Macaca thibetana	10593.06
Macaca tonkeana	10035.53
Mandrillus leucophaeus	14253.3
Mandrillus sphinx	16685.06
Miopithecus ogouensis	NA
Microcebus berthae	33.45
Microcebus griseorufus	70.24
Microcebus murinus	69
Microcebus myoxinus	31.23
Microcebus ravelobensis	58.6
Microcebus rufus	48.39
Microcebus sambiranensis	49.06
Microcebus tavaratra	68.01
Nasalis larvatus	12265.65
Nomascus concolor	6410.47
Nomascus gabriellae	NA
Nomascus hainanus	NA
Nomascus leucogenys	7320
Nomascus siki	NA
Nycticebus bengalensis	1137.36
Nycticebus coucang	924.55
Nycticebus pygmaeus	342.32
Oreonax flavicauda	8229.12
Otolemur crassicaudatus	1206.61
Otolemur garnettii	811.17
Otolemur monteiri	1577.16
Pan paniscus	35119.95
Pan troglodytes	45000
Papio anubis	17728.56
Papio cynocephalus	15822.15
Papio hamadryas	14007.08
Papio papio	18026.05
Papio ursinus	17729.44
Perodicticus potto	1081.81
Phaner electromontis	NA
Phaner furcifer	409.87
Phaner pallescens	NA
Phaner parienti	NA
Prolemur simus	2030.41
Propithecus coquereli	4189.27
Propithecus deckenii	NA
Propithecus diadema	6568.99
Propithecus edwardsi	6573.27
Propithecus perrieri	NA
Propithecus tattersalli	3531.39
Propithecus verreauxi	3588.26
Piliocolobus badius	8430.4
Piliocolobus foai	NA
Piliocolobus gordonorum	NA
Pseudopotto martini	NA
Piliocolobus kirkii	7158.29
Piliocolobus pennantii	10896
Piliocolobus preussi	8865.71
Piliocolobus rufomitratus	8030.75
Piliocolobus tephrosceles	NA
Piliocolobus tholloni	NA
