Callicebus cupreus subspecies	73.6
Callicebus discolor	NA
Callicebus donacophilus	NA
Callicebus dubius	NA
Callicebus hoffmannsi	NA
Callicebus lucifer	NA
Callicebus lugens	NA
Callicebus medemi	NA
Callicebus melanochir	NA
Callicebus modestus	NA
Ateles belzebuth	NA
Ateles chamek	NA
Ateles fusciceps	499.99
Ateles geoffroyi	425.85
Ateles hybridus	NA
Ateles marginatus	NA
Ateles paniscus	478.64
Callicebus moloch	74.4
Callicebus nigrifrons	NA
Callicebus oenanthe	NA
Callicebus olallae	NA
Callicebus ornatus	NA
Callicebus pallescens	NA
Callicebus personatus	NA
Callicebus purinus	NA
Callicebus regulus	NA
Callicebus stephennashi	NA
Callicebus torquatus	NA
Callimico goeldii	50.5
Callithrix acariensis	NA
Callithrix argentata	35.8
Callithrix aurita	NA
Callithrix chrysoleuca	NA
Callithrix emiliae	NA
Callithrix flaviceps	NA
Callithrix geoffroyi	NA
Callithrix humeralifera	34.5
Callithrix humilis	NA
Callithrix intermedia	NA
Callithrix jacchus	27.74
Callithrix kuhlii	NA
Callithrix leucippe	NA
Callithrix manicorensis	NA
Callithrix marcai	NA
Callithrix mauesi	NA
Callithrix melanura	NA
Callithrix nigriceps	NA
Callithrix penicillata	NA
Callithrix pygmaea	14.5
Callithrix saterei	NA
Avahi laniger	NA
Avahi occidentalis	NA
Avahi unicolor	NA
Cercocebus agilis	NA
Cercocebus atys	527.17
Cercocebus chrysogaster	NA
Cercocebus galeritus	NA
Cercocebus sanjei	NA
Cercocebus torquatus	NA
Cercopithecus albogularis	NA
Cercopithecus ascanius	371
Cercopithecus campbelli	NA
Cercopithecus cephus	337.19
Cercopithecus denti	NA
Cercopithecus diana	466.9
Cercopithecus doggetti	NA
Cercopithecus dryas	NA
Cercopithecus erythrogaster	NA
Cercopithecus erythrotis	NA
Cercopithecus hamlyni	NA
Cercopithecus kandti	NA
Cercopithecus lhoesti	NA
Cercopithecus lowei	NA
Cercopithecus mitis	402
Cercopithecus mona	280.49
Cercopithecus neglectus	259.95
Cercopithecus nictitans	403.83
Cercopithecus petaurista	NA
Cercopithecus pogonias	337.19
Cercopithecus preussi	NA
Cercopithecus roloway	NA
Cercopithecus sclateri	NA
Cercopithecus solatus	NA
Cercopithecus wolfi	435
Erythrocebus patas	621.67
Brachyteles arachnoides	NA
Brachyteles hypoxanthus	NA
Lagothrix cana	NA
Lagothrix lagotricha	437.09
Lagothrix lugens	NA
Lagothrix poeppigii	NA
Eulemur albifrons	NA
Eulemur albocollaris	NA
Eulemur cinereiceps	NA
Eulemur collaris	NA
Eulemur coronatus	57.81
Eulemur fulvus	74.99
Eulemur macaco	60.5
Eulemur mongoz	59.48
Eulemur rubriventer	84.97
Eulemur rufus	NA
Eulemur sanfordi	NA
Galago thomasi	NA
Galago zanzibaricus	14.5
Bunopithecus hoolock	NA
Chiropotes albinasus	NA
Chiropotes chiropotes	NA
Chiropotes israelita	NA
Chiropotes satanas	NA
Chiropotes utahickae	NA
Chlorocebus aethiops	NA
Chlorocebus cynosuros	NA
Chlorocebus djamdjamensis	NA
Chlorocebus pygerythrus	NA
Chlorocebus sabaeus	NA
Chlorocebus tantalus	NA
Cacajao calvus	NA
Cacajao melanocephalus	NA
Callicebus baptista	NA
Callicebus barbarabrownae	NA
Callicebus bernhardi	NA
Callicebus brunneus	NA
Callicebus caligatus	NA
Callicebus cinerascens	NA
Callicebus coimbrai	NA
Cebus albifrons	231.92
Cebus apella	231.38
Cebus capucinus	238.36
Cebus kaapori	NA
Cebus libidinosus	NA
Cebus nigritus	NA
Cebus olivaceus	NA
Cebus xanthosternos	NA
Cheirogaleus adipicaudatus	NA
Cheirogaleus crossleyi	NA
Cheirogaleus major	18.08
Cheirogaleus medius	14.65
Cheirogaleus minusculus	NA
Cheirogaleus ravus	NA
Cheirogaleus sibreei	NA
Colobus angolensis	NA
Colobus guereza	444.92
Colobus polykomos	489.89
Colobus satanas	NA
Colobus vellerosus	NA
Euoticus elegantulus	NA
Euoticus pallidus	NA
Daubentonia madagascariensis	121.79
Hapalemur alaotrensis	NA
Hapalemur aureus	NA
Hapalemur griseus	45.2
Hapalemur occidentalis	NA
Galago alleni	23.93
Galago cameronensis	NA
Galago demidoff	9.89
Galago gabonensis	NA
Galago gallarum	NA
Galago granti	NA
Galago matschiei	NA
Galago moholi	11.73
Galago nyasae	NA
Galago orinus	NA
Galago rondoensis	NA
Galago senegalensis	11.5
Gorilla beringei	NA
Gorilla gorilla	2095.89
Homo sapiens	3182.96
Hylobates agilis	NA
Hylobates albibarbis	NA
Hylobates klossii	NA
Hylobates lar	398.86
Hylobates moloch	NA
Hylobates muelleri	NA
Hylobates pileatus	NA
Indri indri	NA
Miopithecus talapoin	179.04
Mirza coquereli	12.92
Lemur catta	75.8
Leontopithecus caissara	NA
Leontopithecus chrysomelas	NA
Leontopithecus chrysopygus	NA
Leontopithecus rosalia	51.89
Lepilemur ankaranensis	NA
Lepilemur dorsalis	NA
Lepilemur edwardsi	NA
Lepilemur leucopus	NA
Lepilemur microdon	NA
Lepilemur mustelinus	27
Lepilemur ruficaudatus	NA
Lepilemur septentrionalis	NA
Lophocebus albigena	498.58
Lophocebus aterrimus	NA
Lophocebus opdenboschi	NA
Loris lydekkerianus	NA
Loris tardigradus	11
Macaca arctoides	488.99
Macaca assamensis	NA
Macaca cyclopis	399.86
Macaca fascicularis	328.76
Macaca fuscata	501.57
Macaca hecki	NA
Macaca leonina	NA
Macaca maura	388.46
Macaca mulatta	471.47
Macaca nemestrina	472.92
Macaca nigra	457.77
Macaca nigrescens	NA
Macaca ochreata	NA
Macaca pagensis	NA
Macaca radiata	367.52
Macaca siberu	NA
Macaca silenus	416.11
Macaca sinica	NA
Macaca sylvanus	449.85
Macaca thibetana	499.99
Macaca tonkeana	NA
Mandrillus leucophaeus	718.15
Mandrillus sphinx	612.89
Miopithecus ogouensis	NA
Microcebus berthae	NA
Microcebus griseorufus	NA
Microcebus murinus	4.78
Microcebus myoxinus	NA
Microcebus ravelobensis	NA
Microcebus rufus	6.5
Microcebus sambiranensis	NA
Microcebus tavaratra	NA
Nasalis larvatus	450
Nomascus concolor	NA
Nomascus gabriellae	NA
Nomascus hainanus	NA
Nomascus leucogenys	497.33
Nomascus siki	NA
Nycticebus bengalensis	NA
Nycticebus coucang	50.47
Nycticebus pygmaeus	19.89
Oreonax flavicauda	NA
Otolemur crassicaudatus	46.57
Otolemur garnettii	49.21
Otolemur monteiri	NA
Pan paniscus	1399.53
Pan troglodytes	1745.02
Papio anubis	947.31
Papio cynocephalus	709.88
Papio hamadryas	890
Papio papio	600.38
Papio ursinus	599.99
Perodicticus potto	37.16
Phaner electromontis	NA
Phaner furcifer	NA
Phaner pallescens	NA
Phaner parienti	NA
Prolemur simus	NA
Propithecus coquereli	102.45
Propithecus deckenii	NA
Propithecus diadema	134.99
Propithecus edwardsi	NA
Propithecus perrieri	NA
Propithecus tattersalli	97.47
Propithecus verreauxi	102.65
Piliocolobus badius	NA
Piliocolobus foai	NA
Piliocolobus gordonorum	NA
Pseudopotto martini	NA
Piliocolobus kirkii	NA
Piliocolobus pennantii	NA
Piliocolobus preussi	NA
Piliocolobus rufomitratus	NA
Piliocolobus tephrosceles	NA
Piliocolobus tholloni	NA
Pithecia aequatorialis	NA
Pithecia albicans	NA
Pithecia irrorata	NA
Pithecia monachus	119.85
Pithecia pithecia	NA
Pongo abelii	NA
Pongo pygmaeus	1644.2
Presbytis chrysomelas	NA
Presbytis comata	NA
Presbytis femoralis	NA
Presbytis frontata	NA
Presbytis hosei	NA
Presbytis melalophos	NA
Presbytis natunae	NA
Presbytis potenziani	NA
Presbytis rubicunda	NA
Presbytis siamensis	NA
Presbytis thomasi	NA
Procolobus verus	NA
Pygathrix cinerea	NA
Pygathrix nemaeus	191.94
Pygathrix nigripes	NA
Saguinus bicolor	NA
Saguinus fuscicollis	39.18
Rhinopithecus avunculus	NA
Rhinopithecus bieti	424.72
Rhinopithecus brelichi	NA
Rhinopithecus roxellana	NA
Saguinus geoffroyi	47.84
Saguinus graellsi	NA
Saguinus imperator	46.55
Saguinus inustus	NA
Saguinus labiatus	40.67
Saguinus leucopus	43.76
Saguinus martinsi	NA
Saguinus melanoleucus	NA
Saguinus midas	39.78
Saguinus mystax	46.65
Saguinus niger	NA
Saguinus nigricollis	43.58
Saguinus oedipus	41
Saguinus pileatus	NA
Saguinus tripartitus	NA
Saimiri boliviensis	NA
Saimiri oerstedii	NA
Saimiri sciureus	107.5
Saimiri ustus	NA
Saimiri vanzolinii	NA
Semnopithecus ajax	NA
Semnopithecus dussumieri	NA
Semnopithecus entellus	499.83
Semnopithecus hector	NA
Semnopithecus hypoleucos	NA
Semnopithecus priam	NA
Semnopithecus schistaceus	NA
Simias concolor	NA
Tarsius bancanus	23.93
Tarsius dentatus	NA
Tarsius pelengensis	NA
Tarsius pumilus	NA
Symphalangus syndactylus	517
Tarsius sangirensis	NA
Tarsius syrichta	25.6
Allenopithecus nigroviridis	240.71
Allocebus trichotis	NA
Alouatta belzebul	NA
Alouatta caraya	260.6
Alouatta coibensis	NA
Alouatta guariba	NA
Alouatta macconnelli	NA
Alouatta nigerrima	NA
Alouatta palliata	318.29
Alouatta pigra	480
Alouatta sara	NA
Alouatta seniculus	293.42
Aotus azarae	NA
Aotus hershkovitzi	NA
Aotus lemurinus	97.47
Aotus miconax	NA
Aotus nancymaae	NA
Aotus nigriceps	NA
Aotus trivirgatus	96.49
Aotus vociferans	NA
Arctocebus aureus	NA
Arctocebus calabarensis	31.82
Tarsius tarsier	23.99
Theropithecus gelada	464.92
Trachypithecus auratus	NA
Trachypithecus barbei	NA
Trachypithecus cristatus	NA
Trachypithecus delacouri	NA
Trachypithecus ebenus	NA
Trachypithecus francoisi	454.56
Trachypithecus geei	NA
Trachypithecus germaini	NA
Trachypithecus hatinhensis	NA
Trachypithecus johnii	NA
Trachypithecus laotum	NA
Trachypithecus obscurus	339.18
Trachypithecus phayrei	NA
Trachypithecus pileatus	NA
Trachypithecus poliocephalus	NA
Trachypithecus shortridgei	NA
Trachypithecus vetulus	359.99
Varecia rubra	NA
Varecia variegata	93.69
